"gender","grade","snap1","snap2","snap3","snap4","snap5","snap6","snap7","snap8","snap9","averBinned"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","C","S","S","S","S","S","S","L"
"B","2nd","S","S","S","S","S","S","S","S","S","M"
"B","2nd","S","S","S","S","S","S","S","S","S","M"
"B","2nd","S","S","S","S","S","S","S","S","S","M"
"B","2nd","S","S","S","S","S","S","S","S","S","M"
"B","2nd","S","S","S","S","S","S","S","S","S","L"
"B","2nd","S","S","S","S","S","S","S","S","S","M"
"B","2nd","S","S","S","S","S","S","S","C","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","M"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","S","S","S","S","S","C","S","M"
"B","2nd","S","S","S","S","S","S","S","S","S","M"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","M"
"B","2nd","S","S","S","S","S","S","S","C","S","L"
"B","2nd","S","S","S","S","S","S","S","C","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","L"
"B","2nd","S","S","S","S","S","S","S","S","S","L"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","C","C","S","S","S","S","S","C","S","L"
"B","2nd","S","S","S","S","S","S","S","S","S","L"
"B","2nd","S","S","S","S","S","S","S","S","S","L"
"B","2nd","S","S","S","S","S","S","S","S","S","L"
"B","2nd","S","S","S","S","S","S","S","S","S","L"
"B","2nd","S","S","S","S","C","S","S","S","C","H"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","C","S","S","S","S","C","S","H"
"B","2nd","N","C","C","C","N","N","N","N","C","L"
"B","2nd","S","S","S","S","S","S","S","S","S","L"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","C","C","S","S","S","S","S","C","S","M"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","N","S","S","S","S","S","C","S","C","M"
"B","2nd","C","C","S","C","C","C","N","S","C","L"
"B","2nd","C","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","S","S","S","S","S","C","S","H"
"B","2nd","C","S","S","S","S","S","S","C","S","H"
"B","2nd","C","C","C","S","S","C","C","C","C","L"
"B","2nd","S","S","S","S","S","S","S","C","S","H"
"B","2nd","C","S","S","S","S","S","S","S","S","L"
"B","2nd","S","S","S","S","S","S","S","C","S","L"
"B","2nd","S","S","S","S","S","C","S","S","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","L"
"B","2nd","S","C","C","S","S","C","C","C","C","L"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","L"
"B","2nd","C","S","S","S","S","C","S","C","C","L"
"B","2nd","S","S","S","S","S","S","S","C","S","M"
"B","2nd","S","S","S","S","S","S","S","C","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","M"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","L"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","L"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","M"
"B","2nd","N","C","N","N","N","N","S","C","C","M"
"B","2nd","S","S","S","S","S","S","S","S","S","M"
"B","2nd","S","S","S","S","S","S","S","S","S","M"
"B","2nd","S","S","S","S","S","S","S","S","C","M"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","M"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","C","S","S","S","S","S","N","S","M"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","L"
"B","2nd","S","S","S","S","S","S","S","C","S","M"
"B","2nd","S","S","C","S","S","S","S","C","S","H"
"B","2nd","S","S","S","S","S","S","S","S","S","M"
"B","2nd","S","S","S","S","S","S","S","S","S","H"
